type.name;cost;instance.name;os;license;costCpu;costRam
Preemptible;1.811;n1-highmem-4;WINDOWS;SQL Server Enterprise;;
Preemptible;3.578;n1-highcpu-8;WINDOWS;SQL Server Enterprise;;
Preemptible;3.6;n1-standard-8;WINDOWS;SQL Server Enterprise;;
Preemptible;3.622;n1-highmem-8;WINDOWS;SQL Server Enterprise;;
Preemptible;7.156;n1-highcpu-16;WINDOWS;SQL Server Enterprise;;
Preemptible;7.2;n1-standard-16;WINDOWS;SQL Server Enterprise;;
Preemptible;7.244;n1-highmem-16;WINDOWS;SQL Server Enterprise;;
Preemptible;14.312;n1-highcpu-32;WINDOWS;SQL Server Enterprise;;
Preemptible;14.4;n1-standard-32;WINDOWS;SQL Server Enterprise;;
Preemptible;14.488;n1-highmem-32;WINDOWS;SQL Server Enterprise;;
Preemptible;28.624;n1-highcpu-64;WINDOWS;SQL Server Enterprise;;
Preemptible;28.8;n1-standard-64;WINDOWS;SQL Server Enterprise;;
Preemptible;28.976;n1-highmem-64;WINDOWS;SQL Server Enterprise;;
Preemptible;0.0679;f1-micro;WINDOWS;SQL Server Web;;
Preemptible;0.0717;g1-small;WINDOWS;SQL Server Web;;
Preemptible;0.095;n1-standard-1;WINDOWS;SQL Server Web;;
Preemptible;0.1405;n1-highcpu-2;WINDOWS;SQL Server Web;;
Preemptible;0.146;n1-standard-2;WINDOWS;SQL Server Web;;
Preemptible;0.1515;n1-highmem-2;WINDOWS;SQL Server Web;;
Preemptible;0.237;n1-highcpu-4;WINDOWS;SQL Server Web;;
Preemptible;0.248;n1-standard-4;WINDOWS;SQL Server Web;;
Preemptible;0.259;n1-highmem-4;WINDOWS;SQL Server Web;;
Preemptible;0.474;n1-highcpu-8;WINDOWS;SQL Server Web;;
Preemptible;0.496;n1-standard-8;WINDOWS;SQL Server Web;;
Preemptible;0.518;n1-highmem-8;WINDOWS;SQL Server Web;;
Preemptible;0.948;n1-highcpu-16;WINDOWS;SQL Server Web;;
Preemptible;0.992;n1-standard-16;WINDOWS;SQL Server Web;;
Preemptible;1.036;n1-highmem-16;WINDOWS;SQL Server Web;;
Preemptible;1.896;n1-highcpu-32;WINDOWS;SQL Server Web;;
Preemptible;1.984;n1-standard-32;WINDOWS;SQL Server Web;;
Preemptible;2.072;n1-highmem-32;WINDOWS;SQL Server Web;;
Preemptible;3.792;n1-highcpu-64;WINDOWS;SQL Server Web;;
Preemptible;3.968;n1-standard-64;WINDOWS;SQL Server Web;;
Preemptible;4.144;n1-highmem-64;WINDOWS;SQL Server Web;;
Preemptible;0.6819;f1-micro;WINDOWS;SQL Server Standard;;
Preemptible;0.6857;g1-small;WINDOWS;SQL Server Standard;;
Preemptible;0.709;n1-standard-1;WINDOWS;SQL Server Standard;;
Preemptible;0.7545;n1-highcpu-2;WINDOWS;SQL Server Standard;;
Preemptible;0.76;n1-standard-2;WINDOWS;SQL Server Standard;;
Preemptible;0.7655;n1-highmem-2;WINDOWS;SQL Server Standard;;
Preemptible;0.851;n1-highcpu-4;WINDOWS;SQL Server Standard;;
Preemptible;0.862;n1-standard-4;WINDOWS;SQL Server Standard;;
Preemptible;0.873;n1-highmem-4;WINDOWS;SQL Server Standard;;
Preemptible;1.702;n1-highcpu-8;WINDOWS;SQL Server Standard;;
Preemptible;1.724;n1-standard-8;WINDOWS;SQL Server Standard;;
Preemptible;1.746;n1-highmem-8;WINDOWS;SQL Server Standard;;
Preemptible;3.404;n1-highcpu-16;WINDOWS;SQL Server Standard;;
Preemptible;3.448;n1-standard-16;WINDOWS;SQL Server Standard;;
Preemptible;3.492;n1-highmem-16;WINDOWS;SQL Server Standard;;
Preemptible;6.808;n1-highcpu-32;WINDOWS;SQL Server Standard;;
Preemptible;6.896;n1-standard-32;WINDOWS;SQL Server Standard;;
Preemptible;6.984;n1-highmem-32;WINDOWS;SQL Server Standard;;
Preemptible;13.616;n1-highcpu-64;WINDOWS;SQL Server Standard;;
Preemptible;13.792;n1-standard-64;WINDOWS;SQL Server Standard;;
Preemptible;13.968;n1-highmem-64;WINDOWS;SQL Server Standard;;
Custom;0;custom;LINUX;;0.036489;0.004892
Custom Preemptible;0;custom;LINUX;;0.00768;0.00103
Custom Committed 1y;0;custom;LINUX;;0.021907;0.002936
Custom Committed 3y;0;custom;LINUX;;0.015648;0.002097
Custom;0;custom;WINDOWS;;0.040489;0.004892
Custom Preemptible;0;custom;WINDOWS;;0.04768;0.00103
Custom Committed 1y;0;custom;WINDOWS;;0.025907;0.002936
